TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Ученик-15\Downloads\videoplayback (1).mp4,"https://rr1---sn-8ph2xajvh-n8vs.googlevideo.com/videoplayback?expire=1709310233&ei=uazhZeeKKpnA_9EPopGuiA0&ip=186.179.14.39&id=o-ABzxCDyq554vp557BNz0AOkcUjskBcHHNyk_SjqxuBaO&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&spc=UWF9f-w5I3Ewuj9JL49GfjKshYpUqhHSK4vbIiWg3ddGVAg&vprv=1&svpuc=1&mime=video%2Fmp4&gir=yes&clen=8821963&ratebypass=yes&dur=179.072&lmt=1703489165435040&fexp=24007246&c=ANDROID&txp=1318224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAO3gZSnh6ZviWQEaDH3DaSqdyvP0Z0iav7ShKA7y3upuAiB1RAz9zN2QuVLHtnFaPV5Ph_OFghDt3eVyFdxDCXKidg%3D%3D&title=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE-%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%20%D0%BD%D0%B0%20%D1%82%D0%B5%D0%BC%D1%83%20%22%D0%97%D0%B0%D1%89%D0%B8%D1%82%D0%B0%20%D0%BE%D0%BA%D1%80%D1%83%D0%B6%D0%B0%D1%8E%D1%89%D0%B5%D0%B9%20%D1%81%D1%80%D0%B5%D0%B4%D1%8B%22&rm=sn-ab5eld76&req_id=308bd70a6dc0a3ee&ipbypass=yes&redirect_counter=2&cm2rm=sn-oan31-5a5e7e&cms_redirect=yes&cmsv=e&mh=Gj&mip=5.188.153.53&mm=29&mn=sn-8ph2xajvh-n8vs&ms=rdu&mt=1709288946&mv=m&mvi=1&pl=24&lsparams=ipbypass,mh,mip,mm,mn,ms,mv,mvi,pl&lsig=APTiJQcwRQIhAPkFJQikxIgWc-2icxvtsllwZNl9VoWNv4dp6rLnzGd7AiB8qKAR3lfqI_FY0hmOJs9YTTIwfhnxh1_T7km7AHXNuQ%3D%3D",8821963,2024-03-01T10:33:30.441557+05:00,2024-03-01T10:33:32.552876+05:00,video/mp4
C:\Users\Ученик-15\Downloads\videoplayback.mp4,"https://rr5---sn-h557sn6z.googlevideo.com/videoplayback?expire=1709216947&ei=U0DgZZvsCrr5vcAPlpe74Ac&ip=2409%3A408c%3A8e0d%3Aabfb%3Accf0%3A1722%3Aff13%3Aac44&id=o-AJU8ujbZIUpjOl6VePNZ4b8rbq9Iyds-ys7QfzJbV0Xu&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&spc=UWF9f4qhEX3DkuTDznFQL7lSMFZ0piwX7sHIZ94Q2DDTVIY&vprv=1&svpuc=1&mime=video%2Fmp4&gir=yes&clen=8821963&ratebypass=yes&dur=179.072&lmt=1703489165435040&fexp=24007246&c=ANDROID&txp=1318224&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgZ5mldJAqxfYF7mF1YaXB6QBpNJS_9A5_Ml2nM_pjO7ECIQDBE4Ykh2wsI-IW6nYXzavOB4YQt3SZgCi8oMTFDYaAbw%3D%3D&title=%D0%92%D0%B8%D0%B4%D0%B5%D0%BE-%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%20%D0%BD%D0%B0%20%D1%82%D0%B5%D0%BC%D1%83%20%22%D0%97%D0%B0%D1%89%D0%B8%D1%82%D0%B0%20%D0%BE%D0%BA%D1%80%D1%83%D0%B6%D0%B0%D1%8E%D1%89%D0%B5%D0%B9%20%D1%81%D1%80%D0%B5%D0%B4%D1%8B%22&rm=sn-gwpa-cagk7k,sn-gwpa-h55e77z&req_id=e8bee6d0b11da3ee&redirect_counter=2&cms_redirect=yes&cmsv=e&ipbypass=yes&mh=Gj&mm=30&mn=sn-h557sn6z&ms=nxu&mt=1709208500&mv=m&mvi=5&pl=41&lsparams=ipbypass,mh,mm,mn,ms,mv,mvi,pl&lsig=APTiJQcwRQIhAJ5esRrQkNj8cJgzf6fjf-Qfm-LvEfC3hwuHId29CdR1AiAc9r_mjShgDlf3bAChq3b0UWM1fMfXLgXdrfgGBM_uBg%3D%3D",8821963,2024-02-29T12:12:19.900862+05:00,2024-02-29T12:12:21.906037+05:00,video/mp4
C:\Users\Ученик-15\Documents\freedexpano_2_3_5\plugins\s-prazdnikom-8-marta.mp4,https://3d-galleru.ru/3D/image/s-prazdnikom-8-marta-213583/,7545418,2024-03-06T11:05:41.059572+05:00,2024-03-06T11:05:58.323017+05:00,video/mp4
C:\Users\Ученик-15\Downloads\vppsetup (3).exe,https://www.nchsoftware.com/videopad/ru/index.html,6189232,2024-01-08T11:10:52.559095+05:00,2024-01-08T11:11:05.851263+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\vppsetup (2).exe,https://www.nchsoftware.com/videopad/ru/index.html,6189232,2024-01-08T11:10:47.359078+05:00,2024-01-08T11:11:04.73279+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\vppsetup (1).exe,https://www.nchsoftware.com/videopad/ru/index.html,6189232,2024-01-08T11:10:44.058676+05:00,2024-01-08T11:11:04.836293+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\vppsetup.exe,https://videopad-video-editor.download-windows.org/#d_table,5957800,2024-01-08T10:31:05.583833+05:00,2024-01-08T10:31:34.538916+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0 (3).exe,https://sourceforge.net/projects/netemul/files/latest/download,5744673,2024-09-10T07:37:06.69572+05:00,2024-09-10T07:37:07.60784+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0.exe,https://sourceforge.net/projects/netemul/files/latest/download,5744673,2024-09-10T07:43:16.107031+05:00,2024-09-10T07:43:17.997962+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0 (4).exe,https://sourceforge.net/projects/netemul/files/release-1.0/netemul-1.0.exe/download,5744673,2024-09-10T07:40:45.242835+05:00,2024-09-10T07:40:47.472995+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0.exe,https://sourceforge.net/projects/netemul/files/release-1.0/netemul-1.0.exe/download,5744673,2024-09-10T03:56:55.001531+05:00,2024-09-10T03:56:59.319394+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0 (2).exe,https://sourceforge.net/projects/netemul/files/release-1.0/netemul-1.0.exe/download,5744673,2024-09-10T07:35:21.261009+05:00,2024-09-10T07:35:22.453109+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0 (1).exe,https://sourceforge.net/projects/netemul/files/latest/download,5744673,2024-09-10T04:58:27.619048+05:00,2024-09-10T04:58:28.561415+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0 (1).exe,https://sourceforge.net/projects/netemul/files/latest/download,5744673,2024-09-10T05:50:20.648477+05:00,2024-09-10T05:50:21.109768+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\netemul-1.0.exe,https://sourceforge.net/projects/netemul/files/release-1.0/netemul-1.0.exe/download,5744673,2024-09-10T05:48:21.981979+05:00,2024-09-10T05:48:22.603106+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\Yandex.exe,https://yandex.kz/project/browser/general/g/35?from=adwords_gdn&utm_source=google&utm_medium=gdn&utm_campaign=smart_gdn_kz_good&utm_content=665610372196&utm_term=kwg%20entity%2011p12b0z2g&campaignid=20371092166&adgroupid=159760236388&creative=665610372196&keyword=kwg%20entity%2011p12b0z2g&gclid=EAIaIQobChMI96f1-ISsgwMVHkmRBR1yqQzfEAEYASAAEgJ8APD_BwE,5247896,2023-12-26T02:19:32.912381+05:00,2023-12-26T02:19:48.531799+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\Поздравление с 8 Марта.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,5108488,2024-03-06T11:16:58.089489+05:00,2024-03-06T11:16:58.66337+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Поздравление с 8 Марта (1).mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,5108488,2024-03-06T11:27:29.802311+05:00,2024-03-06T11:27:30.005336+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Поздравление с 8 Марта (2).mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,5108488,2024-03-06T11:27:30.320366+05:00,2024-03-06T11:27:30.54036+05:00,video/mp4
C:\Users\Ученик-15\Downloads\MentalMentor (1).exe,https://mmentorapp.com/land_en/?r=PropellerAds_VT_Push_Conv_ALL_27_01_2024&sub2=propeller&sub6=787050370405240837,3346944,2024-02-29T12:50:10.335807+05:00,2024-02-29T12:50:14.871354+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\MentalMentor.exe,https://mmentorapp.com/land_en/?r=PropellerAds_VT_Push_Conv_ALL_27_01_2024&sub2=propeller&sub6=785926077197856770,3346944,2024-02-26T10:21:54.322152+05:00,2024-02-26T10:22:11.147032+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\pygame-1.9.6.tar.gz,https://gsf-fl.softonic.com/d05/5cf/1e37d8c340579e2d745e8ca4c9397767da/pygame-1.9.6.tar.gz?Expires=1712159261&Signature=f2755c7c6eb50cf05ff8baa65b0d9ea4f5eea5fd&url=https://pygame.softonic.ru&Filename=pygame-1.9.6.tar.gz,3223131,2024-04-03T03:59:02.772886+05:00,2024-04-03T03:59:25.231789+05:00,binary/octet-stream
C:\Users\Ученик-15\Downloads\Наурыз 2.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,2757461,2024-03-11T12:03:52.198547+05:00,2024-03-11T12:03:53.269332+05:00,video/mp4
C:\Users\Ученик-15\Downloads\very well (1).bmp,https://www.online-convert.com/ru/result#j=1bdab090-be8c-4b7c-a74b-c6fb79fef8cd,2432138,2024-04-24T07:51:33.068638+05:00,2024-04-24T07:51:33.991103+05:00,image/bmp
C:\Users\Ученик-15\Downloads\very well (2).bmp,https://www.online-convert.com/ru/result#j=1bdab090-be8c-4b7c-a74b-c6fb79fef8cd,2432138,2024-04-24T07:51:34.10843+05:00,2024-04-24T07:51:35.519935+05:00,image/bmp
C:\Users\Ученик-15\Downloads\very well (3).bmp,https://www.online-convert.com/ru/result#j=1bdab090-be8c-4b7c-a74b-c6fb79fef8cd,2432138,2024-04-24T07:51:35.562998+05:00,2024-04-24T07:51:36.721837+05:00,image/bmp
C:\Users\Ученик-15\Downloads\simona bogin 9 b very very well.bmp,https://www.online-convert.com/ru/result#j=f5799339-4abd-464f-8bd8-ecbbeb5cf1fe,2432138,2024-04-24T08:06:12.827817+05:00,2024-04-24T08:06:13.963878+05:00,image/bmp
C:\Users\Ученик-15\Downloads\very well.bmp,https://www.online-convert.com/ru/result#j=1bdab090-be8c-4b7c-a74b-c6fb79fef8cd,2432138,2024-04-24T07:51:31.855267+05:00,2024-04-24T07:51:32.850223+05:00,image/bmp
C:\Users\Ученик-15\Downloads\simona bogin 9 b very very well (1).bmp,https://www.online-convert.com/ru/result#j=f5799339-4abd-464f-8bd8-ecbbeb5cf1fe,2432138,2024-04-24T08:06:15.945541+05:00,2024-04-24T08:06:16.766717+05:00,image/bmp
C:\Users\Ученик-15\Downloads\9d18a2369b863c1e7d3112ac658c8045.jpg,https://www.google.com/search?sca_esv=544798f1b50553ec&q=%D0%BD%D1%83+%D0%BF%D0%BE%D0%B3%D0%BE%D0%B4%D0%B8&uds=AMwkrPvvTgATrYsU7QL2ugoBCP8LHw7cm3gmmo9hwr0iF1GP2GrbnkBEqnb2VJNklShX6g_KMCh5CBOEYaQrgLb-1L4-jcCWz2NURcRPBNhUZUODdRafIspJpH0zUdHTee1C6tPzV1ybpSspGGKmFrpDXtATaSBvMrKyua5ZaURBRNoVEdaD8PK-Ui90HTXNZUKN9FDyg8oVuqvhwv8jfPqW_3sPx4pAg1khu9BfaVDuvcyhZOm_enpjhZLXtxZPhstYl_H72hj177mLCHSsR5lIxHrQMBa8QPTH8Q8z7_RKZa2kSu30myhG5Zg3Pql2hRN7ntUyeEex-VbNIkZ6MCDsVvzDzX4R0g&udm=2&prmd=ivnsmbtz&sa=X&sqi=2&ved=2ahUKEwjTq__zvOeFAxXlGxAIHcy_CGcQtKgLegQIBxAB&biw=1366&bih=641&dpr=1#vhid=FVq1Yn2nTNSQSM&vssid=mosaic,2401744,2024-04-29T13:01:35.783526+05:00,2024-04-29T13:01:44.804421+05:00,image/jpeg
C:\Users\Ученик-15\Downloads\нууууу погодииииии57448938н423нурарвырирпвывываыр.jpg,https://www.google.com/search?sca_esv=3cb57a3b0b929ed3&q=%D0%BD%D1%83+%D0%BF%D0%BE%D0%B3%D0%BE%D0%B4%D0%B8&uds=AMwkrPvvTgATrYsU7QL2ugoBCP8LHw7cm3gmmo9hwr0iF1GP2GrbnkBEqnb2VJNklShX6g_KMCh5CBOEYaQrgLb-1L4-jcCWz2NURcRPBNhUZUODdRafIspJpH0zUdHTee1C6tPzV1ybpSspGGKmFrpDXtATaSBvMrKyua5ZaURBRNoVEdaD8PK-Ui90HTXNZUKN9FDyg8oVuqvhwv8jfPqW_3sPx4pAg1khu9BfaVDuvcyhZOm_enpjhZLXtxZPhstYl_H72hj177mLCHSsR5lIxHrQMBa8QPTH8Q8z7_RKZa2kSu30myhG5Zg3Pql2hRN7ntUyeEex-VbNIkZ6MCDsVvzDzX4R0g&udm=2&prmd=ivnsmbtz&sa=X&ved=2ahUKEwjNvtn5ieqFAxVtLBAIHakdDkgQtKgLegQICBAB&biw=1366&bih=589&dpr=1#vhid=FVq1Yn2nTNSQSM&vssid=mosaic,2401744,2024-04-30T13:48:32.080813+05:00,2024-04-30T13:48:53.584504+05:00,image/jpeg
C:\Users\Ученик-15\Downloads\Chto-takoe-funkcii-v-Excel.pptx,https://gamma.app/docs/Excel-72dy8cx3kihh9u3?mode=doc,2286090,2024-02-16T06:29:41.423189+05:00,2024-02-16T06:29:43.551247+05:00,application/vnd.openxmlformats-officedocument.presentationml.presentation
C:\Users\Ученик-15\Downloads\well.bmp,https://www.online-convert.com/ru/result#j=e2ec2762-c5af-4b18-b392-edcf61f47d86,1792138,2024-04-24T07:49:57.133305+05:00,2024-04-24T07:49:58.100042+05:00,image/bmp
C:\Users\Ученик-15\Downloads\well (2).bmp,https://www.online-convert.com/ru/result#j=e2ec2762-c5af-4b18-b392-edcf61f47d86,1792138,2024-04-24T07:50:45.663792+05:00,2024-04-24T07:50:46.679784+05:00,image/bmp
C:\Users\Ученик-15\Downloads\well (1).bmp,https://www.online-convert.com/ru/result#j=e2ec2762-c5af-4b18-b392-edcf61f47d86,1792138,2024-04-24T07:49:58.320289+05:00,2024-04-24T07:49:59.145451+05:00,image/bmp
C:\Users\Ученик-15\Downloads\pygame-1.9.6-installer_2N-9N81.exe,https://www.softonic.ru/download-launch?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJkb3dubG9hZFR5cGUiOiJyaXNlSW5zdGFsbGVyIiwiZG93bmxvYWRVcmwiOiJodHRwczovL2QxaXN1bXF2bW5xN2p6LmNsb3VkZnJvbnQubmV0L2J1aWxkL2t6L3YyLjc1Mi42MS4yNy43NyIsImFwcElkIjoiYTFiN2U1NDYtODAzMS00M2EzLTlmZTgtMTRlOTI0Y2VlZDE1IiwicGxhdGZvcm1JZCI6IndpbmRvd3MiLCJpYXQiOjE3MTIxMTY2NzUsImV4cCI6MTcxMjEyMDI3NX0.YbEGkoqp4IuMF5e3rsHUqAAm1ddLl2RFIvqxyYkKNuE,1771176,2024-04-03T03:58:08.335772+05:00,2024-04-03T03:58:12.027361+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\Funkcii-Excel.pptx,https://gamma.app/docs/Excel-uexgq2i12owvcdc?mode=doc,1360351,2024-02-16T05:01:42.814083+05:00,2024-02-16T05:01:46.36187+05:00,application/vnd.openxmlformats-officedocument.presentationml.presentation
C:\Users\Ученик-15\Documents\Настраиваемые шаблоны Office\1697506839_flomaster-top-p-risunok-po-okhrane-prirodi-pinterest-38.jpg,https://www.google.com/search?q=%D0%BE%D0%BA%D1%80%D1%83%D0%B6%D0%B0%D1%8E%D1%89%D0%B0%D1%8F+%D1%81%D1%80%D0%B5%D0%B4%D0%B0+%D0%BF%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D1%82&tbm=isch&ved=2ahUKEwiduMyrlIqEAxXzFRAIHbNXC44Q2-cCegQIABAA&oq=%D0%BE%D0%BA%D1%80%D1%83%D0%B6%D0%B0%D1%8E%D1%89%D0%B0%D1%8F+%D1%81%D1%80%D0%B5%D0%B4%D0%B0+%D0%BF%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D1%82&gs_lcp=CgNpbWcQA1CfC1j-IGD8I2gAcAB4AIABAIgBAJIBAJgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=v5C7Zd3cMvOrwPAPs6-t8Ag&prmd=ivsnbmtz#imgrc=BhtdVG-0LCUZ3M,1268252,2024-02-01T12:44:00.083204+05:00,2024-02-01T12:46:00.060185+05:00,image/jpeg
C:\AMD\нурсултан.html,https://www.google.com/search?q=%D1%84%D0%BE%D1%82%D0%BE+%D0%BD%D1%83%D1%80%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD&oq=%D1%84%D0%BE%D1%82%D0%BA%D0%B0+%D0%BD%D1%83%D1%80+&gs_lcrp=EgZjaHJvbWUqCggCEAAYogQYiQUyBggAEEUYOTIKCAEQABgKGBYYHjIKCAIQABiiBBiJBTIKCAMQABiABBiiBNIBCjUwMDUzajBqMTWoAgiwAgE&sourceid=chrome&ie=UTF-8#vhid=SOHYaGa57l8ZbM&vssid=l,903799,2024-09-24T13:09:59.607285+05:00,2024-09-24T13:10:19.288257+05:00,text/html
C:\Users\Ученик-15\Downloads\Новая папка\нурсултан (1).html,https://www.google.com/search?q=%D1%84%D0%BE%D1%82%D0%BE+%D0%BD%D1%83%D1%80%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD&oq=%D1%84%D0%BE%D1%82%D0%BA%D0%B0+%D0%BD%D1%83%D1%80+&gs_lcrp=EgZjaHJvbWUqCggCEAAYogQYiQUyBggAEEUYOTIKCAEQABgKGBYYHjIKCAIQABiiBBiJBTIKCAMQABiABBiiBNIBCjUwMDUzajBqMTWoAgiwAgE&sourceid=chrome&ie=UTF-8#vhid=SOHYaGa57l8ZbM&vssid=l,900718,2024-09-24T13:11:35.89613+05:00,2024-09-24T13:11:45.67036+05:00,text/html
C:\Users\Ученик-15\Documents\freedexpano_2_3_5\plugins\nauriz-min.jpg,https://www.google.com/search?q=%D0%BD%D0%B0%D1%83%D1%80%D1%8B%D0%B7&sca_esv=562607b38f2994ce&ei=z4fxZfybL5-2wPAPnuC44A0&udm=&ved=0ahUKEwi8v8i0i_GEAxUfGxAIHR4wDtwQ4dUDCBA&oq=%D0%BD%D0%B0%D1%83%D1%80%D1%8B%D0%B7&gs_lp=Egxnd3Mtd2l6LXNlcnAiDNC90LDRg9GA0YvQtzIFEAAYgAQyBRAAGIAEMgsQLhiABBjHARivATIFEC4YgAQyBRAAGIAEMgUQLhiABDIFEC4YgAQyBRAAGIAEMgsQLhiABBjHARivATIFEAAYgARIz8ICUIq-AVirowJwB3gBkAEAmAF3oAGqBaoBAzAuNrgBDMgBAPgBAZgCDaAClwaoAhTCAiAQABiABBiKBRjlAhjlAhjqAhi0AhiKAxi3AxjUA9gBAcICHRAAGIAEGIoFGOUCGOUCGOoCGLQCGIoDGLcD2AEBwgIWEC4YAxiPARjlAhjqAhi0AhiMA9gBAsICFhAAGAMYjwEY5QIY6gIYtAIYjAPYAQLCAgsQLhiABBjHARjRA8ICChAAGIAEGIoFGEPCAhAQLhiABBiKBRhDGMcBGNEDwgIKEC4YgAQYigUYQ8ICGRAuGIAEGIoFGEMYlwUY3AQY3gQY4ATYAQPCAgsQLhivARjHARiABMICChAAGIAEGEYYgQKYAwy6BgQIARgHugYGCAIQARgKugYGCAMQARgUkgcDNy42oAeYZg&sclient=gws-wiz-serp#vhid=HitYPbU-ymM4SM&vssid=l&ip=1,784411,2024-03-13T11:04:06.172525+05:00,2024-03-13T11:04:13.518211+05:00,image/jpeg
C:\Users\Ученик-15\Documents\freedexpano_2_3_5\plugins\nauriz-min (1).jpg,https://exd.ru/index.php?id=4246,784411,2024-03-13T11:04:45.228694+05:00,2024-03-13T11:04:49.192756+05:00,image/jpeg
